E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16
Uniprot ID (initiating protein),Small Mol. CAS No,Level 1 - Mediator - T/F,Level 2 - Receptor - T/F,Level 3 - Receptor subunit - T/F,Level 4 - Interactor - T/F,Associating protein Uniprot ID,Associating protein CST PhosphoSite Plus Entry ID,Associating protein type,Effect of interaction with Associating protein,Interacting Kinases (link to Kinector search),Initiating Protein Icon Type,Associating Protein Icon Type,Interaction Edge Type,Initiating  Protein Short Name,Associating Protein Short Name
P49771,,T,T,F,F,P36888,,,FLT3L binds to the extracellular domain of the FLT3 receptor on hematopoietic progenitor cells and certain immune cells inducing dimerization of the FLT3 receptor which is necessary for its activation and autophosphorylation of specific tyrosine residues. The activated FLT3 receptor recruits and phosphorylates downstream signalling proteins. FLT3L stimulates the proliferation of early hematopoietic cells by activating FLT3.,,Extracellular Protein Mediator,Tyr Kinase,+,FLT3LG,FLT3
F8WCM5,,T,F,F,F,P06213,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,INS-IGF2,INSR
K9M1U5,,T,F,F,F,Q8IU57,5721,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL4,IFNLR1
K9M1U5,,T,F,F,F,Q08334,19762,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL4,IL10RB
O00175,,T,F,F,F,P51677,2317945,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL24,CCR3
O00230,,T,F,F,F,P30872,4856452,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CORT,SSTR1
O00230,,T,F,F,F,P35346,,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream SSTR5 signalling leading to inhibition of adenylate cyclase and cAMP production .,,Extracellular Protein Mediator,Regulatory,+,CORT,SSTR5
O00238,,T,F,F,F,Q13873,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. Engagement of extracellular mediator with the receptor activates induces heterotetrameric receptor complex alongside BMPR2 which activates SMAD transcriptional regulators.",,Ser/Thr Kinase,Regulatory,+,BMPR1B,BMPR2
O00253,,T,F,F,F,P32245,,G protein-coupled 7TM receptor,"Acts as an antagonist to MC4R and inhibits MC4R signalling,and promotes MC4R endocytosis in an arrestin-dependent manner,to increase appetite and promote weight gain. ",,Extracellular Protein Mediator,Regulatory,-,AGRP,MC4R
O00548,,T,F,F,F,P46531,,Single pass TM receptor,Engagement of extracellular mediator activates Notch receptors by triggering their cleavage and NOTCH1 signalling to regulate cell fate decisions.,,Extracellular Protein Mediator,Regulatory,+,DLL1,NOTCH1
