C1,C2,C3,C4,C5,C6,C7,C8,C13,C18,C23,C9,C19,C14,C24,C10,C15,C20,C25,C15,C11,C16,C21,C26,C12,C17,C22,C27,,,
Uniprot ID,Small Mol. CAS No.,Mediator Enzyme - T/F,Mediator - T/F,Receptor  - T/F,Interacting Prot. - T/F,TranscriptNET link,Organ/Tissue ID1,Organ/Tissue ID2,Organ/Tissue ID3,Organ/Tissue ID4,Organ/Tissue ID5,Organ/Tissue ID6,Organ/Tissue ID7,Organ/Tissue ID8,Organ/Tissue ID9,Organ/Tissue ID10,Organ/Tissue ID11,Organ/Tissue ID12,Organ/Tissue ID13,Organ/Tissue ID14,Organ/Tissue ID15,Organ/Tissue ID16,Organ/Tissue ID17,Organ/Tissue ID18,Organ/Tissue ID19,Organ/Tissue ID20,Organ/Tissue ID21,,,
K9M1U5,,F,T,F,F,K9M1U5,,,,,,,,,,,,,,,,,,,,,,,,
O00175,,F,T,F,F,O00175,Adipose tissue*,Blood - Macrophages CD14+*,Blood - Monocyte derived dendritic cells*,Bone marrow - Plasma cells,Colon - Ascending colonic mucosa,Colon - Proximal colonic mucosa,Colon - Rectum,Colon - Sigmoid colonic mucosa*,Heart - Microvascular endothelial cells,Lung - Microvascular endothelial cells*,Spleen *,,,,,,,,,,,,,
O00230,,F,T,F,F,O00230,"Blood - Peripheral - T-lymphocytes - CD4+,natural killer (NK) lymphocytes*",Bone marrow - Plasma cells,"Brain - Associative striatum,dorsal striatum,striatum,caudate nucleus*",Brain - Diencephalon*,Brain - Frontal cortex*,Heart*,Intestine - Small,Kidney,Liver,Lung - Epithelial cells,Oral cavity - Dental pulp stem cells*,Skin - Fibroblasts,,,,,,,,,,,,
O00585,,F,T,F,F,O00585,Adipose tissue,Adrenal gland*,"Blood - Lymphoblastoid cells,B-lymphocytes,natural killer (NK) lymphocytes,T-lymphocytes - CD8+*",Colon - Appendix*,Intestine - Mucosal cells,Lung,Lymph node*,Lymph node - Tonsil *,Prostate,Skin - Dermal lymphatic microvessel endothelium cells*,Spleen*,Thyroid*,,,,,,,,,,,,
O00626,,F,T,F,F,O00626,"Blood - Dendritic cells,macrophage,leukocyte*","Blood - Lymphoblastoid cells,dendritic cells - Monocyte-derived (MMDC),macrophages - Monocyte-derived,peripheral natural killer (NK) lymphocytes*","Colon - Ascending,rectum",Epidermis - Langerhans cells*,Lung*,Lung - Epithelial cells,Lymph node - CD4+ T-cells,Mammary gland - Epithelium,Muscle - Skeletal - Myotubes,Palpebral conjunctiva,Placenta - Basal plate (37-40 weeks)*,Skin,Spleen*,Synovia - Mononuclear cells,Tonsil - CD30 T-cells,Vagina - Vulva*,,,,,,,,
O14511,,F,T,F,F,O14511,Adrenal gland,"Blood - Erythroid progenitors - CD34+,lymphoblastoid cells*","Brain - Cerebellar vermis,caudate nucleus,cerebral cortex,cerebellum,anterior cingulate cortex,dorsolateral prefrontal cortex,temporal lobe*","Brain - Cerebellum,associative,dorsal striatum,metencephalon*","Colon - Terminal ileum,sigmoid,and ascending*",Eye - Cornea,"Heart - Microvascular - Endothelial cells,right atrial appendage and left ventricular free wall - Myocardial cells",Kidney*,Lung - Microvascular - Endothelial cells,Mouth - Minor salivary gland*,"Muscle - Skeletal - Myotubes,quadriceps femoris",Ovary,Spinal cord*,,,,,,,,,,,
O14625,,F,T,F,F,O14625,Ammon's Horn,Blood - Microvascular endothelium*,Blood - Monocyte,Blood - NK cells,Female gonad,Heart - Endothelium*,Intestine - Illeum,Lung - Lower Lobe*,Lung - Microvascular endothelium,Lymph node - Inguinal,Pancreas*,Pancreas - Islet*,Placenta*,Prostate*,Stomach,Thyroid - Epithelial cells,,,,,,,,
O14788,,F,T,F,F,O14788,"Blood - Lymphoblastoid cells,NK cells*",Eye - Palpebral conjunctiva,Heart - Middle septum*,Liver - Hepatocyte,Lung - Microvascular endothelial cells,Lymph node*,Mammary gland - Epithelium*,Oocyte - Cumulus cells,Ovary - Follicle cells*,Ovary - Granulosa cells*,Skin - Fibroblasts,Testis*,Thyroid,Tonsil - NK cells,Appendix - Vermiform,,,,,,,,,
O14793,,F,T,F,F,O14793,"Blood - Peripheral - B-lymphocytes,lymphoblastoid cells,and NK cells",Brain*,Colon - Terminal ileum*,Heart - Microvascular - Endothelial cells,Lung - Microvascular - Endothelial cells,Muscle - Diaphragm *,Muscle - Skeletal*,"Muscle - Skeletal - Biceps brachii,quadriceps femoris,vastus lateralis,Biceps femoris*",Muscle - Skeletal - Quadriceps femoris,Muscle - Skeletal - Torso,Muscle - Skeletal - Vastus lateralis*,Placenta*,Testis,,,,,,,,,,,
