A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
Small Mol. CAS No.,Small Mol. Mediator - T/F,Mediator Short Name,Mediator Long Name,Mediator Alias,Mediator Type,Precursor Mediator Protein Mass (Da),Mature  Mediator Protein AA Positions,Proteases implicated in Maturation of Mediator Protein,Mediator Compound Mass (Da),Mediator Compound PubChem Number,Mediator Compound ChemSpider Number,Mediator Compound ChEMBL Number,CASLink,PubChem Link,ChemSpider Link,ChEMBL Link,Mediator Compound Biosynthetic Enzyme - Type,Mediator Compound Biosynthetic Enzyme - Short Name,Mediator Compound Biosynthetic Enzyme - Long Name,Mediator Compound Biosynthetic Enzyme - Alias,Mediator Compound - UniProt ID,Mediator Compound Biosynthetic Enzyme - PhosphoSitePlus ID,Mediator Compound Biosynthetic Enzyme - General Description,Hormone - T/F,Cytokine - T/F,Neurotransmitter - T/F,Growth Factor - T/F,Interaction Type - Stimulatory - T/F,Interaction Type - Inhibitory - T/F,Interaction Type - Unclear - T/F,Direction to Target - T/F,Direction from Target- T/F,
712349-95-6,T,NADA (T1AM),3-Iodothyronamine,"Phenol,4-[4-(2-aminoethyl)-2-iodophenoxy]-; 4-[4-(2-Aminoethyl)-2-iodophenoxy]phenol",Small molecule,-,,,355.17,9950514,8126125,CHEMBL1182312,https://commonchemistry.cas.org/detail?cas_rn=712349-95-6&search=712349-95-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9950514,http://www.chemspider.com/Chemical-Structure.8126125.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL1182312,,TG,Thyroglobulin,AITD3; TG; TGN; THYG,P01266,19112,Precursor of the iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3). Belongs to the type-B carboxylesterase/lipase family.,F,F,T,F,T,F,F,T,F,
51-84-3,T,Ach,Acetylcholine,"2-acetyloxy-N,N,N-trimethylethanaminium",Small molecule,,,,146.21,187,182,CHEMBL667,https://commonchemistry.cas.org/detail?cas_rn=51-84-3&search=51-84-3,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=187,http://www.chemspider.com/Chemical-Structure.182.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL667,,CHAT (CAT),Choline acetyltransferase,Acetyl CoA:choline O-acetyltransferase; CHAT; CHOACTase; Choline acetylase; choline acetyltransferase; Choline O-acetyltransferase; CLAT; CMS1A; CMS1A2; CMS6,P28329,2721,Catalyzes the reversible synthesis of acetylcholine (ACh) from acetyl CoA and choline at cholinergic synapses. Belongs to the carnitine/choline acetyltransferase family.,F,F,T,F,T,F,F,T,F,
5536-17-4,T,Adenosine,Adenosine," (2R,3R,4S,5R)-2- (6-amino-9H-purin-9-yl)-5- (hydroxymethyl)oxolane-3,4-diol; 9-β-D-Ribofuranosyladenine; Adenine riboside",Small molecule,,,,267.241,CID 60961,54923,CHEMBL477,https://commonchemistry.cas.org/detail?cas_rn=5536-17-4&search=5536-17-4,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid= CID 60961,http://www.chemspider.com/Chemical-Structure.54923.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL477,,NT5E,5'-nucleotidase,"5' nucleotidase (CD73); 5'-NT; 5'-nucleotidase; 5'-nucleotidase ecto; 5'-nucleotidase,ecto (CD73); 5NTD; CALJA; CD73; E5NT; Ecto-5'-nucleotidase; eN; eNT; NT; NT5; NT5E; NTE; Purine 5-Prime-Nucleotidase",P21589,2842963,"Hydrolyzes extracellular nucleotides into membrane permeable nucleosides. Exhibits AMP-,NAD-,and NMN-nucleosidase activities. Belongs to the 5'-nucleotidase family.",F,F,T,F,T,F,F,T,F,
56-65-5,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,507.18,5957,5742,ChEMBL14249,https://commonchemistry.cas.org/detail?cas_rn=56-65-5&search=56-65-5,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14249,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-6,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,508.18,5957,5742,ChEMBL14250,https://commonchemistry.cas.org/detail?cas_rn=56-65-6&search=56-65-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14250,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-7,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,509.18,5957,5742,ChEMBL14251,https://commonchemistry.cas.org/detail?cas_rn=56-65-7&search=56-65-7,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14251,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-8,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,510.18,5957,5742,ChEMBL14252,https://commonchemistry.cas.org/detail?cas_rn=56-65-8&search=56-65-8,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14252,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-9,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,511.18,5957,5742,ChEMBL14253,https://commonchemistry.cas.org/detail?cas_rn=56-65-9&search=56-65-9,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14253,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
56-65-10,T,ATP,Adenosine triphosphate,Adenosine triphosphate,Small molecule,,,,512.18,5957,5742,ChEMBL14254,https://commonchemistry.cas.org/detail?cas_rn=56-65-10&search=56-65-10,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5957,http://www.chemspider.com/Chemical-Structure.5742.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL14254,,"ATPA,ATPB,ATPG","ATP synthase subunit alpha,mitochondrial,ATP synthase subunit beta,mitochondrial,ATP synthase subunit gamma,mitochondrial","ATP synthase alpha chain,mitochondrial; ATP synthase F1 subunit alpha; ATP synthase subunit alpha,mitochondrial; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 1,cardiac muscle; ATP synthase,H+ transporting,mitochondrial F1 complex,alpha subunit,isoform 2,non-cardiac muscle-like 2; ATP sythase (F1-ATPase) alpha subunit; ATP5A; ATP5A1; ATP5AL2; ATP5F1A; ATPA; ATPM; COXPD22; epididymis secretory sperm binding protein Li 123m; hATP1; HEL-S-123m; MC5DN4; mitochondrial ATP synthetase,oligomycin-resistant; MOM2; OMR; ORM","P25705,P06576,P36542","6894,15702,11729","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains,F(1) - containing the extramembraneous catalytic core,and F(0) - containing the membrane proton channel,linked together by a central stalk and a peripheral stalk. During catalysis,ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1).",F,F,T,F,T,F,F,T,F,
