B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniprot ID,Mediator Enzyme - T/F,Mediator - T/F,Receptor  - T/F,Interacting Prot. - T/F,Protein Type,Protein Short Name,Protein Long Name,Protein Alias,Processing,Precursor Protein Protein Mass (Da),Protein Function Description,PhosphoNET Link,KinaseNet Link,Onconet Link,DrugProNET Link,UniProt ID Link,CST PhosphoSite Plus Entry ID,CST PhosphoSite Plus Link,TranscriptoNET link,String-Db link,Interaction Type - Stimulatory - T/F,Interaction Type - Inhibitory - T/F,Interaction Type - Unclear - T/F,Direction to Target (to Receptor) - T/F,Direction from Target (from Receptor)- T/F,Kinexus Product 1,Kinexus Product Link 1,Kinexus Product 2,Kinexus Product Link 2,Kinexus Product 3,Kinexus Product Link 3,Kinexus Product 4,Kinexus Product Link 4,Kinexus Product 5,Kinexus Product Link 5,Kinexus Product 6,Kinexus Product Link 6,Kinexus Product 7,Kinexus Product Link 7,Kinexus Product 8,Kinexus Product Link 8,Kinexus Product 9,Kinexus Product Link 9,Kinexus Product 10,Kinexus Product Link 10,Icon Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40123,F,F,F,T,Actin binding protein,CAP2,Adenylyl cyclase-associated protein 2,"2810452G09Rik; Adenylyl cyclase-associated protein 2; CAP 2; CAP,adenylate cyclase-associated protein,2; CAP,adenylate cyclase-associated protein,2 (yeast); CAP2; cyclase associated actin cytoskeleton regulatory protein 2",,"52,824",May have a regulatory bifunctional role. Belongs to the CAP family.,http://www.phosphonet.ca/default.aspx?search=P40123,,,,https://www.uniprot.org/uniprotkb/P40123/entry,14238,https://www.phosphosite.org/proteinAction.action?id=14238&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21333,F,F,F,T,Actin binding protein,FLNA,Filamin-A,"ABP-280; ABPX; actin binding protein 280; Actin-binding protein 280; Alpha-filamin; CSBS; CVD1; DKFZp434P031; Endothelial actin-binding protein; epididymis secretory sperm binding protein; FGS2; filamin 1; filamin A; filamin A,alpha; Filamin-1; Filamin-A; FLN; FLN-A; FLN1; FLNA; FMD; MNS; NHBP; Non-muscle filamin; OPD; OPD1; OPD2; XLVD; XMVD",,"280,739","Promotes orthogonal branching of actin filaments and links actin filaments to membrane glycoproteins. Anchors various transmembrane proteins to the actin cytoskeleton and serves as a scaffold for a wide range of cytoplasmic signaling proteins. Interaction with FLNA may allow neuroblast migration from the ventricular zone into the cortical plate. Tethers cell surface-localized furin,modulates its rate of internalization and directs its intracellular trafficking. Involved in ciliogenesis. Plays a role in cell-cell contacts and adherens junctions during the development of blood vessels,heart and brain organs. Plays a role in platelets morphology through interaction with SYK that regulates ITAM- and ITAM-like-containing receptor signaling,resulting in by platelet cytoskeleton organization maintenance. Belongs to the filamin family.",http://www.phosphonet.ca/default.aspx?search=P21333,,,,https://www.uniprot.org/uniprotkb/P21333/entry,2546,https://www.phosphosite.org/proteinAction.action?id=2546&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4VC05,F,F,F,T,Actin-binding protein,BCL7A,B-cell CLL/lymphoma 7 protein family member A,"B-cell CLL/lymphoma 7 protein family member A; B-cell CLL/lymphoma 7A; B-cell CLL/lymphoma-7; BAF chromatin remodeling complex subunit BCL7A; BCL tumor suppressor 7A; Bcl-7A; BCL7; BCL7A; BCL7A,BAF complex component",,"22,810",Belongs to the BCL7 family.,http://www.phosphonet.ca/default.aspx?search=Q4VC05,,http://www.onconet.ca/Report/index?query=Cancer+Protein+Description&searchTerm=Q4VC05,,https://www.uniprot.org/uniprotkb/Q4VC05/entry,17816,https://www.phosphosite.org/proteinAction.action?id=17816&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14019,F,F,F,T,Actin-binding protein,COTL1,Coactosin-like protein,CLP; coactosin like F-actin binding protein 1; coactosin-like 1; coactosin-like 1 (Dictyostelium); Coactosin-like protein; COTL1; epididymis secretory sperm binding protein; FLJ43657; MGC19733,,"15,945","Binds to F-actin in a calcium-independent manner. Has no direct effect on actin depolymerization. Acts as a chaperone for ALOX5 (5LO),influencing both its stability and activity in leukotrienes synthesis. Belongs to the actin-binding proteins ADF family. Coactosin subfamily.",http://www.phosphonet.ca/default.aspx?search=Q14019,,http://www.onconet.ca/Report/index?query=Cancer+Protein+Description&searchTerm=Q14019,,https://www.uniprot.org/uniprotkb/Q14019/entry,9492,https://www.phosphosite.org/proteinAction.action?id=9492&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9UJU6,F,F,F,T,Actin-binding protein,DBNL,Drebrin-like protein,ABP1; actin-binding protein 1; Cervical mucin-associated protein; Cervical SH3P7; CMAP; DBNL; drebrin like; Drebrin-F; drebrin-like; Drebrin-like protein; HIP-55; HIP55; HPK1-interacting protein of 55 kDa; SH3 domain-containing protein 7; SH3P7; src homology 3 domain-containing protein HIP-55,,"48,207","Adapter protein that binds F-actin and DNM1,and thereby plays a role in receptor-mediated endocytosis. Plays a role in the reorganization of the actin cytoskeleton,formation of cell projections,such as neurites,in neuron morphogenesis and synapse formation via its interaction with WASL and COBL. Does not bind G-actin and promote actin polymerization by itself. Required for the formation of organized podosome rosettes. May act as a common effector of antigen receptor-signaling pathways in leukocytes. Acts as a key component of the immunological synapse that regulates T-cell activation by bridging TCRs and the actin cytoskeleton to gene activation and endocytic processes. Belongs to the ABP1 family.",http://www.phosphonet.ca/default.aspx?search=Q9UJU6,,,,https://www.uniprot.org/uniprotkb/Q9UJU6/entry,2685,https://www.phosphosite.org/proteinAction.action?id=2685&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6IBS0,F,F,F,T,Actin-binding protein; Protein-serine kinase (non-receptor),TWF2 (A6r),Twinfilin-2,"A6-related protein; A6r; A6RP; hA6RP; MSTP011; Protein tyrosine kinase 9-like; protein tyrosine kinase 9-like (A6-related protein); PTK9L; PTK9L protein tyrosine kinase 9-like (A6-related protein); TWF2; twinfilin actin binding protein 2; twinfilin,actin-binding protein,homolog 2; twinfilin,actin-binding protein,homolog 2 (Drosophila); Twinfilin-1-like protein; Twinfilin-2
",,"39,548","Actin-binding protein involved in motile and morphological processes. Inhibits actin polymerization,likely by sequestering G-actin. By capping the barbed ends of filaments,it also regulates motility. Seems to play an important role in clathrin-mediated endocytosis and distribution of endocytic organelles. May play a role in regulating the mature length of the middle and short rows of stereocilia. Belongs to the actin-binding proteins ADF family. Twinfilin subfamily as well as rotein kinase,atypical; ATYPICAL group; A6 family.",http://www.phosphonet.ca/default.aspx?search=Q6IBS0,,,,https://www.uniprot.org/uniprotkb/Q6IBS0/entry,2316,https://www.phosphosite.org/proteinAction.action?id=2316&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,PK502,https://kinexus-ca.myshopify.com/products/ab-PK502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13480,F,F,F,T,Adapter/scaffold protein,GAB1,GRB2-associated-binding protein 1,"Deafness,autosomal recessive 26; DFNB26; GAB1; GRB2 associated binding protein 1; GRB2-associated binder 1; GRB2-associated binding protein 1; GRB2-associated-binding protein 1; Growth factor receptor bound protein 2-associated protein 1",,"76,616",Adapter protein that plays a role in intracellular signaling cascades triggered by activated receptor-type kinases. Plays a role in FGFR1 signaling. Probably involved in signaling by the epidermal growth factor receptor (EGFR) and the insulin receptor (INSR). Involved in the MET/HGF-signaling pathway. Belongs to the GAB family.,http://www.phosphonet.ca/default.aspx?search=Q13480,,http://www.onconet.ca/Report/index?query=Cancer+Protein+Description&searchTerm=Q13480,,https://www.uniprot.org/uniprotkb/Q13480/entry,976,https://www.phosphosite.org/proteinAction.action?id=976&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7Z5R6,F,F,F,T,Adapter/scaffold protein,APBA3,Amyloid-beta A4 precursor protein-binding family A member 3,"Adapter protein X11gamma; amyloid beta (A4) precursor protein-binding,family A,member 3; amyloid beta (A4) precursor protein-binding,family A,member 3 (X11-like 2); Amyloid beta A4 precursor protein-binding family A member 3; amyloid beta precursor protein binding family A member 3; Amyloid-beta A4 precursor protein-binding family A member 3; APBA3; MGC:15815; Mint-3; MINT3; Neuron-specific X11L2 protein; Neuronal Munc18-1-interacting protein 3; phosphotyrosine-binding/-interacting domain (PTB)-bearing protein; X11-like 2 protein; X11L2",,"61,454",May modulate processing of the amyloid-beta precursor protein (APP) and hence formation of APP-beta. May enhance the activity of HIF1A in macrophages by inhibiting the activity of HIF1AN.,http://www.phosphonet.ca/default.aspx?search=Q7Z5R6,,,,https://www.uniprot.org/uniprotkb/Q7Z5R6/entry,3391304,https://www.phosphosite.org/proteinAction.action?id=3391304&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TDM6,F,F,F,T,Adapter/scaffold protein,DLG5,Disks large homolog 5,"Discs large MAGUK scaffold protein 5; discs large protein LP-DLG; Discs large protein P-dlg; discs,large homolog 5; discs,large homolog 5 (Drosophila); Disks large homolog 5; DLG5; KIAA0583; large type of P-DLG; LP-DLG; P-DLG5; PDLG; Placenta and prostate DLG",,"213,868","Acts as a regulator of the Hippo signaling pathway. Negatively regulates the Hippo signaling pathway by mediating the interaction of MARK3 with STK3/4,bringing them together to promote MARK3-dependent hyperphosphorylation and inactivation of STK3 kinase activity toward LATS1. Positively regulates the Hippo signaling pathway by mediating the interaction of SCRIB with STK4/MST1 and LATS1 which is important for the activation of the Hippo signaling pathway. Involved in regulating cell proliferation,maintenance of epithelial polarity,epithelial-mesenchymal transition (EMT),cell migration and invasion. Plays an important role in dendritic spine formation and synaptogenesis in cortical neurons; regulates synaptogenesis by enhancing the cell surface localization of N-cadherin. Acts as a positive regulator of hedgehog (Hh) signaling pathway. Plays a critical role in the early point of the SMO activity cycle by interacting with SMO at the ciliary base to induce the accumulation of KIF7 and GLI2 at the ciliary tip for GLI2 activation. Belongs to the MAGUK family.",http://www.phosphonet.ca/default.aspx?search=Q8TDM6,,,,https://www.uniprot.org/uniprotkb/Q8TDM6/entry,11755,https://www.phosphosite.org/proteinAction.action?id=11755&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
